pos;Ru;Pd;Ir;Pt;current
137;53.9;18.9;12.4;14.8;-0.19077
138;52.7;19.4;12.9;15;-0.22385
139;49.6;21.7;13;15.6;-0.24846
140;47.8;22.8;13.2;16.2;-0.26631
141;46.5;23.1;13.4;17;-0.28384
142;44;24.8;13.6;17.6;-0.29701
143;41.9;26.6;13.4;18.1;-0.31085
144;40.4;27.8;13.6;18.2;-0.31092
145;37.7;29.4;13.5;19.4;-0.31404
146;36.4;30.9;13.5;19.3;-0.307
147;34.5;32.2;13.5;19.7;-0.29896
148;32.4;33.7;13.6;20.3;-0.29097
149;30.1;35.4;13.5;20.9;-0.28373
150;28.5;37.2;13.3;21;-0.27277
151;27.2;38.7;13;21.2;-0.27292
152;25.2;40.3;12.6;21.9;-0.27173
153;24.2;42.2;12;21.6;-2.55E-01
154;22.8;43.3;12;22;-0.24871
155;21.1;45.5;11.5;22;-0.22234
156;20;46.6;11;22.4;-0.21185
157;19.1;47.9;10.4;22.6;-0.17707
158;53.8;18.5;12.1;15.6;-0.20275
159;51.9;20;12.2;15.8;-0.24756
160;50.3;20.6;12.7;16.4;-0.26659
161;47.6;22.4;13;17;-0.2798
162;46;23.3;13;17.6;-0.2905
163;43.5;24.9;13.3;18.3;-0.30457
164;41.7;26.2;13.1;19;-0.31529
165;39.5;28.1;12.9;19.6;-0.3146
166;37.7;28.8;13.6;19.9;-0.31185
167;36;30.2;13.5;20.3;-0.30926
168;33.8;32.4;13.1;20.8;-0.29489
169;32.2;33.8;13.2;20.8;-0.2912
170;29.9;35.4;12.8;21.9;-0.28472
171;28.9;36.7;12.7;21.8;-0.27643
172;26.6;38.3;12.4;22.8;-0.27415
173;25.4;39.5;12.3;22.7;-0.26783
174;23.5;41.6;12.2;22.7;-0.2563
175;22.3;43.1;11.6;23;-0.25044
176;21.7;44.1;11;23.2;-0.23299
177;20;46;10.7;23.4;-0.20806
178;18.8;47.3;10.3;23.6;-0.18298
179;52.6;19.7;11.8;15.9;-0.22595
180;51.4;19.8;12.6;16.2;-0.25638
181;49.5;20.8;12.7;17.1;-0.27144
182;47.5;22.3;12.2;18;-0.29319
183;45.2;23.6;12.9;18.3;-0.31086
184;43.4;25;12.5;19;-0.32008
185;41.3;26.3;12.7;19.7;-0.32285
186;38.6;28;13;20.3;-0.3214
187;36.9;29.3;13.1;20.7;-0.3367
188;35.1;31;12.8;21.1;-0.31595
189;33.7;31.6;12.9;21.8;-0.32442
190;31.8;33.2;12.4;22.6;-0.30804
191;30;34.7;12.6;22.7;-0.30166
192;28.7;36.1;12.4;22.8;-0.29276
193;26.4;37.9;12;23.7;-0.28943
194;25.4;39.1;11.4;24.1;-0.2807
195;24;40.5;11.3;24.1;-0.26669
196;22.4;42;11.3;24.3;-0.25384
197;21.1;43.6;10.7;24.6;-0.22429
198;19.9;45.2;10.2;24.7;-0.19454
199;18.6;46.2;10.1;25.1;-0.18756
200;53;18.7;11.9;16.3;-0.2569
201;50.4;20.3;11.8;17.5;-0.28459
202;49.7;20.2;12;18;-0.30466
203;47.1;21.8;12.4;18.8;-0.30224
204;44.9;23.3;12.4;19.4;-0.3435
205;43;24.7;12.7;19.6;-0.34206
206;40.8;26.1;12.5;20.6;-0.3424
207;39.4;27;12.4;21.1;-0.35419
208;36.7;29.2;12.2;21.9;-0.35398
209;34.9;30.3;12.2;22.6;-0.35344
210;32.8;31.5;12.3;23.4;-0.33021
211;31.7;32.7;11.9;23.7;-0.31461
212;29.1;34.4;12.5;24;-0.32568
213;27.7;36.5;11.6;24.2;-0.32036
214;26.4;37.4;11.5;24.7;-0.29061
215;24.6;38.5;11.5;25.4;-0.27806
216;22.9;41;10.7;25.4;-0.25012
217;21.7;42;10.9;25.4;-0.2628
218;21.4;42.4;10.5;25.7;-0.23633
219;19.1;45.3;9.8;25.8;-0.21047
220;18.1;45.8;9.7;26.4;-0.17372
221;51.9;18.7;11.7;17.7;-0.26304
222;50.4;19.8;11.8;18.1;-0.29842
223;47.5;21.9;11.7;18.8;-0.32439
224;46.5;22;11.9;19.6;-0.3388
225;44.1;23.1;12.4;20.4;-0.35362
226;42.2;24.7;12.3;20.9;-0.29403
227;40.4;25.1;12.4;22.1;-0.36872
228;38;27.4;12.2;22.4;-0.36955
229;36.6;28.3;12.3;22.9;-0.35762
230;34.6;30.4;12;23;-0.35641
231;33.4;31;11.6;24.1;-0.34302
232;30.9;32.8;11.4;24.9;-0.31829
233;29.4;33.9;11.5;25.2;-0.32203
234;27.6;35.5;11.4;25.5;-0.30503
235;26.4;36.6;10.9;26.1;-0.3019
236;24.3;38.4;10.8;26.5;-0.29193
237;23.1;39.5;10.3;27.1;-0.27085
238;21.8;40.8;10.3;27.1;-0.25708
239;20.1;42.3;10.2;27.4;-0.22236
240;19.3;43.5;9.5;27.6;-0.19282
241;18.3;44.8;9.5;27.4;-0.18038
242;50;19.3;11.7;19.1;-0.29747
243;47.9;20.6;12;19.5;-0.33745
244;46;22;11.7;20.3;-0.33781
245;43.7;23.8;11.3;21.3;-0.35552
246;42.1;24.2;11.6;22.1;-0.37147
247;39.5;25.8;11.5;23.3;-0.37339
248;38;27.3;11.6;23.1;-0.38081
249;35.5;28.6;11.7;24.2;-0.36445
250;33.7;29.8;11.8;24.7;-0.35398
251;32.3;30.8;11.3;25.6;-0.33488
252;30.9;32.1;11.4;25.6;-0.33542
253;29.2;33.2;11;26.7;-0.31763
254;27.3;34.5;11.1;27.1;-0.31135
255;26.2;35.9;10.5;27.4;-0.3019
256;24.1;37.6;10.6;27.7;-0.28539
257;23.1;38.6;10.4;27.9;-0.2739
258;21.8;39.9;10.1;28.2;-0.26664
259;20.2;41.3;9.4;29.2;-0.21424
260;19.1;42.1;9.1;29.7;-0.21221
261;49.1;20.1;11.2;19.7;-0.27069
262;46.8;21;11.6;20.6;-0.31917
263;45.1;21.9;11.8;21.2;-0.34834
264;42.9;23.5;11.6;22;-0.35499
265;41.3;24.2;11.1;23.4;-0.35626
266;39.3;25.5;11.4;23.9;-0.36385
267;37.5;26.7;11.5;24.3;-0.36724
268;35.9;27.7;11.4;25;-0.36322
269;33.9;29.4;10.8;25.9;-0.35539
270;31.9;30;11.4;26.7;-0.33992
271;30.2;31.5;11.2;27.2;-0.34011
272;28.5;32.8;10.7;27.9;-0.32935
273;27;34;10.7;28.3;-0.31536
274;25.9;35.3;10.1;28.6;-0.30784
275;24;36.5;10.4;29.1;-0.28193
276;22.7;38.2;9.7;29.5;-0.26176
277;22;39;9.5;29.6;-0.23348
278;20.7;40.3;8.9;30.1;-0.20964
279;18.7;41.8;8.8;30.7;-0.19673
280;46.3;21.2;11.2;21.3;-0.3004
281;45;21;11.7;22.3;-0.33798
282;42.9;22.3;11.3;23.4;-0.33713
283;40.8;24;11.1;24.1;-0.39737
284;39.2;24.9;11;24.9;-0.35663
285;36.8;26.5;11.2;25.5;-0.36222
286;35.1;27.2;10.8;26.9;-0.35167
287;33.5;28.6;10.9;27.1;-0.33472
288;32.1;29.5;11;27.4;-0.34222
289;29.6;31.3;10.6;28.5;-0.32476
290;27.7;32.7;10.6;29;-0.32628
291;26.6;33.2;10.3;29.8;-0.28449
292;25.6;34.2;9.9;30.3;-0.2824
293;23.9;35.5;9.6;30.9;-0.28315
294;22.4;37;9.2;31.4;-0.2479
295;20.9;38.4;8.9;31.8;-0.23279
